"","Code","Variable","Year","Value"
"1","2611","UK manufacturer sales of individual products listed in this product group","2008",1149097
"2","2611","UK manufacturer sales of individual products listed in this product group","2009",890737
"3","2611","UK manufacturer sales of individual products listed in this product group","2010",1197782
"4","2611","UK manufacturer sales of individual products listed in this product group","2011",1153120
"5","2611","UK manufacturer sales of individual products listed in this product group","2012",828817
"6","2611","UK manufacturer sales of individual products listed in this product group","2013",1031464
"7","2611","UK manufacturer sales of individual products listed in this product group","2014",613184
"8","2611","UK manufacturer sales of individual products listed in this product group","2015",987924
"9","2611","UK manufacturer sales of individual products listed in this product group","2016",1058963
"10","2611","UK manufacturer sales of individual products listed in this product group","2017",1042371
"11","2611","UK manufacturer sales of individual products listed in this product group","2018",1079348
"12","2611","UK manufacturer sales of individual products listed in this product group","2019",1009674
"13","2611","UK manufacturer sales of individual products listed in this product group","2020",938097
"14","2611","All other income","2008",199073
"15","2611","All other income","2009",146980
"16","2611","All other income","2010",97959
"17","2611","All other income","2011",148286
"18","2611","All other income","2012",68024
"19","2611","All other income","2013",72300
"20","2611","All other income","2014",219638
"21","2611","All other income","2015",6991
"22","2611","All other income","2016",11183
"23","2611","All other income","2017",45470
"24","2611","All other income","2018",46812
"25","2611","All other income","2019",102176
"26","2611","All other income","2020",59195
"27","2611","Total UK manufacturer sales of products in this product group","2008",1348171
"28","2611","Total UK manufacturer sales of products in this product group","2009",1037717
"29","2611","Total UK manufacturer sales of products in this product group","2010",1295741
"30","2611","Total UK manufacturer sales of products in this product group","2011",1301406
"31","2611","Total UK manufacturer sales of products in this product group","2012",896841
"32","2611","Total UK manufacturer sales of products in this product group","2013",1103764
"33","2611","Total UK manufacturer sales of products in this product group","2014",832823
"34","2611","Total UK manufacturer sales of products in this product group","2015",994915
"35","2611","Total UK manufacturer sales of products in this product group","2016",1070146
"36","2611","Total UK manufacturer sales of products in this product group","2017",1087840
"37","2611","Total UK manufacturer sales of products in this product group","2018",1126160
"38","2611","Total UK manufacturer sales of products in this product group","2019",1111850
"39","2611","Total UK manufacturer sales of products in this product group","2020",997293
"40","2611","Merchanted goods","2008",571423
"41","2611","Merchanted goods","2009",187399
"42","2611","Merchanted goods","2010",218150
"43","2611","Merchanted goods","2011",698284
"44","2611","Merchanted goods","2012",790763
"45","2611","Merchanted goods","2013",518239
"46","2611","Merchanted goods","2014",350099
"47","2611","Merchanted goods","2015",419802
"48","2611","Merchanted goods","2016",302510
"49","2611","Merchanted goods","2017",336930
"50","2611","Merchanted goods","2018",399315
"51","2611","Merchanted goods","2019",475577
"52","2611","Merchanted goods","2020",223811
"53","2611","Work done","2008",30119
"54","2611","Work done","2009",11634
"55","2611","Work done","2010",11228
"56","2611","Work done","2011",7584
"57","2611","Work done","2012",13135
"58","2611","Work done","2013",12841
"59","2611","Work done","2014",5208
"60","2611","Work done","2015",5375
"61","2611","Work done","2016",6731
"62","2611","Work done","2017",6445
"63","2611","Work done","2018",13941
"64","2611","Work done","2019",23765
"65","2611","Work done","2020",20958
"66","2611","Waste products","2008",2592
"67","2611","Waste products","2009",1292
"68","2611","Waste products","2010",3708
"69","2611","Waste products","2011",722
"70","2611","Waste products","2012",1119
"71","2611","Waste products","2013",1014
"72","2611","Waste products","2014",564
"73","2611","Waste products","2015",1230
"74","2611","Waste products","2016",578
"75","2611","Waste products","2017",934
"76","2611","Waste products","2018",1501
"77","2611","Waste products","2019",1291
"78","2611","Waste products","2020",1242
"79","2611","Non production income","2008",72502
"80","2611","Non production income","2009",33291
"81","2611","Non production income","2010",26586
"82","2611","Non production income","2011",12586
"83","2611","Non production income","2012",33107
"84","2611","Non production income","2013",22445
"85","2611","Non production income","2014",9821
"86","2611","Non production income","2015",52179
"87","2611","Non production income","2016",21819
"88","2611","Non production income","2017",24521
"89","2611","Non production income","2018",27421
"90","2611","Non production income","2019",46201
"91","2611","Non production income","2020",37102
"92","2611","Net carry in/carry out","2008",902130
"93","2611","Net carry in/carry out","2009",703365
"94","2611","Net carry in/carry out","2010",892236
"95","2611","Net carry in/carry out","2011",549103
"96","2611","Net carry in/carry out","2012",833479
"97","2611","Net carry in/carry out","2013",808650
"98","2611","Net carry in/carry out","2014",678310
"99","2611","Net carry in/carry out","2015",437997
"100","2611","Net carry in/carry out","2016",189806
"101","2611","Net carry in/carry out","2017",432159
"102","2611","Net carry in/carry out","2018",312982
"103","2611","Net carry in/carry out","2019",420844
"104","2611","Net carry in/carry out","2020",412774
"105","2611","Total turnover of businesses classified to this industry","2008",2926935
"106","2611","Total turnover of businesses classified to this industry","2009",1974699
"107","2611","Total turnover of businesses classified to this industry","2010",2447649
"108","2611","Total turnover of businesses classified to this industry","2011",2569685
"109","2611","Total turnover of businesses classified to this industry","2012",2568445
"110","2611","Total turnover of businesses classified to this industry","2013",2466953
"111","2611","Total turnover of businesses classified to this industry","2014",1876825
"112","2611","Total turnover of businesses classified to this industry","2015",1911498
"113","2611","Total turnover of businesses classified to this industry","2016",1591590
"114","2611","Total turnover of businesses classified to this industry","2017",1888829
"115","2611","Total turnover of businesses classified to this industry","2018",1881320
"116","2611","Total turnover of businesses classified to this industry","2019",2079529
"117","2611","Total turnover of businesses classified to this industry","2020",1693179
"118","26111100","Value £000's","2012",12313
"119","26111100","Value £000's","2013",16541
"120","26111100","Value £000's","2014",18843
"121","26111100","Value £000's","2015",18611
"122","26111100","Value £000's","2016",24566
"123","26111100","Value £000's","2017",35891
"124","26111100","Value £000's","2018",36135
"125","26111100","Value £000's","2019",32418
"126","26111100","Value £000's","2020",17683
"127","26111100","Volume (Number of items)","2012",2806
"128","26111100","Volume (Number of items)","2013",1879
"129","26111100","Volume (Number of items)","2014",2757
"130","26111100","Volume (Number of items)","2015",2483
"131","26111100","Volume (Number of items)","2016",3513
"132","26111100","Volume (Number of items)","2017",4800
"133","26111100","Volume (Number of items)","2018",4670
"134","26111100","Volume (Number of items)","2019",3875
"135","26111100","Volume (Number of items)","2020",2016
"136","26111100","£ per Number of items","2012",4388.41
"137","26111100","£ per Number of items","2013",8802.94
"138","26111100","£ per Number of items","2014",6835.95
"139","26111100","£ per Number of items","2015",7494.37
"140","26111100","£ per Number of items","2016",6992.57
"141","26111100","£ per Number of items","2017",7476.74
"142","26111100","£ per Number of items","2018",7737.44
"143","26111100","£ per Number of items","2019",8364.93
"144","26111100","£ per Number of items","2020",8770.14
"145","26111200","Value £000's","2010",35627
"146","26111200","Value £000's","2012",41276
"147","26111200","Value £000's","2015",39517
"148","26111200","Value £000's","2016",40841
"149","26111200","Value £000's","2017",40400
"150","26111200","Value £000's","2018",43845
"151","26111200","Volume (Number of items)","2012",52047
"152","26111200","Volume (Number of items)","2015",40806
"153","26111200","Volume (Number of items)","2017",45303
"154","26111200","Volume (Number of items)","2019",46259
"155","26111200","£ per Number of items","2012",793.06
"156","26111200","£ per Number of items","2015",968.41
"157","26111200","£ per Number of items","2017",891.77
"158","26112120","Value £000's","2008",9124
"159","26112120","Value £000's","2009",25821
"160","26112120","Value £000's","2010",41754
"161","26112120","Value £000's","2011",38149
"162","26112120","Value £000's","2012",33216
"163","26112120","Value £000's","2013",128604
"164","26112120","Value £000's","2015",152204
"165","26112120","Value £000's","2016",193907
"166","26112120","Value £000's","2017",177376
"167","26112120","Value £000's","2018",187995
"168","26112120","Value £000's","2019",176216
"169","26112120","Value £000's","2020",185667
"170","26112120","Volume (Number of items)","2009",928858631
"171","26112120","Volume (Number of items)","2011",281523909
"172","26112120","Volume (Number of items)","2015",1104290328
"173","26112120","£ per Number of items","2009",0.03
"174","26112120","£ per Number of items","2011",0.14
"175","26112120","£ per Number of items","2015",0.14
"176","26112150","Value £000's","2008",111599
"177","26112150","Value £000's","2009",111215
"178","26112150","Value £000's","2010",226274
"179","26112150","Value £000's","2011",227589
"180","26112150","Value £000's","2012",206359
"181","26112150","Value £000's","2013",221838
"182","26112150","Value £000's","2014",215491
"183","26112150","Value £000's","2015",207219
"184","26112150","Value £000's","2016",238574
"185","26112150","Value £000's","2017",255189
"186","26112150","Value £000's","2018",217109
"187","26112150","Value £000's","2019",235582
"188","26112150","Value £000's","2020",181033
