"","UNU KEY","Year","Variable","Value"
"1","0101","2000","sum(NetMass)",429630
"2","0101","2000","sum(SuppUnit)",0
"3","0101","2000","sum(Value)",2950397
"4","0101","2001","sum(NetMass)",494338
"5","0101","2001","sum(SuppUnit)",0
"6","0101","2001","sum(Value)",3982787
"7","0101","2002","sum(NetMass)",433342
"8","0101","2002","sum(SuppUnit)",0
"9","0101","2002","sum(Value)",2449425
"10","0101","2003","sum(NetMass)",466692
"11","0101","2003","sum(SuppUnit)",0
"12","0101","2003","sum(Value)",3438556
"13","0101","2004","sum(NetMass)",547764
"14","0101","2004","sum(SuppUnit)",0
"15","0101","2004","sum(Value)",4271700
"16","0101","2005","sum(NetMass)",295696
"17","0101","2005","sum(SuppUnit)",0
"18","0101","2005","sum(Value)",3308654
"19","0101","2006","sum(NetMass)",428521
"20","0101","2006","sum(SuppUnit)",0
"21","0101","2006","sum(Value)",4195404
"22","0101","2007","sum(NetMass)",682821
"23","0101","2007","sum(SuppUnit)",0
"24","0101","2007","sum(Value)",5026708
"25","0101","2008","sum(NetMass)",776199
"26","0101","2008","sum(SuppUnit)",0
"27","0101","2008","sum(Value)",5563699
"28","0101","2009","sum(NetMass)",320624
"29","0101","2009","sum(SuppUnit)",0
"30","0101","2009","sum(Value)",3075702
"31","0101","2010","sum(NetMass)",295492
"32","0101","2010","sum(SuppUnit)",0
"33","0101","2010","sum(Value)",3473041
"34","0101","2011","sum(NetMass)",227847
"35","0101","2011","sum(SuppUnit)",0
"36","0101","2011","sum(Value)",3682380
"37","0101","2012","sum(NetMass)",2734690
"38","0101","2012","sum(SuppUnit)",257443
"39","0101","2012","sum(Value)",14828021
"40","0101","2013","sum(NetMass)",2536950
"41","0101","2013","sum(SuppUnit)",320399
"42","0101","2013","sum(Value)",15820180
"43","0101","2014","sum(NetMass)",5783033
"44","0101","2014","sum(SuppUnit)",232141
"45","0101","2014","sum(Value)",15171379
"46","0101","2015","sum(NetMass)",2231996
"47","0101","2015","sum(SuppUnit)",380277
"48","0101","2015","sum(Value)",17395021
"49","0101","2016","sum(NetMass)",1942727
"50","0101","2016","sum(SuppUnit)",283037
"51","0101","2016","sum(Value)",17537054
"52","0101","2017","sum(NetMass)",1940715
"53","0101","2017","sum(SuppUnit)",290754
"54","0101","2017","sum(Value)",16086759
"55","0101","2018","sum(NetMass)",2411598
"56","0101","2018","sum(SuppUnit)",257568
"57","0101","2018","sum(Value)",19216811
"58","0101","2019","sum(NetMass)",2843977
"59","0101","2019","sum(SuppUnit)",275958
"60","0101","2019","sum(Value)",17425215
"61","0101","2020","sum(NetMass)",1824937
"62","0101","2020","sum(SuppUnit)",200801
"63","0101","2020","sum(Value)",12171984
"64","0101","2021","sum(NetMass)",1951391
"65","0101","2021","sum(SuppUnit)",445374
"66","0101","2021","sum(Value)",12996499
"67","0102","2000","sum(NetMass)",38052831
"68","0102","2000","sum(SuppUnit)",991787
