"","model","year","component","product","material","value"
"1","Nokia 5165 ","1998","Display","Basic mobile phone","Aluminum",1.7
"2","Nokia 5165 ","1998","Display","Basic mobile phone","Plastic",1.7
"3","Nokia 5165 ","1998","Display","Basic mobile phone","Flat panel glass",4.8
"4","Nokia 5165 ","1998","Main body","Basic mobile phone","Steel",2.2
"5","Nokia 5165 ","1998","Main body","Basic mobile phone","Plastic",45.7
"6","Nokia 5165 ","1998","Main body","Basic mobile phone","Li-ion battery",73.3
"7","Nokia 5165 ","1998","Main body","Basic mobile phone","PCB",42.6
"8","Nokia 5165 ","1998","Main body","Basic mobile phone","Others",1.1
"9","Sanyo SCP 4000 ","1999","Display","Basic mobile phone","Flat panel glass",5.7
"10","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Steel",2.9
"11","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Plastic",30.3
"12","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Li-ion battery",47.6
"13","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","PCB",30.6
"14","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Others",7.5
"15","LG VX 3200 ","2004","Display","Basic mobile phone","Plastic",2.2
"16","LG VX 3200 ","2004","Display","Basic mobile phone","Flat panel glass",3.7
"17","LG VX 3200 ","2004","Main body","Basic mobile phone","Copper",6.5
"18","LG VX 3200 ","2004","Main body","Basic mobile phone","Steel",0.4
"19","LG VX 3200 ","2004","Main body","Basic mobile phone","Plastic",36.7
"20","LG VX 3200 ","2004","Main body","Basic mobile phone","Li-ion battery",22.7
"21","LG VX 3200 ","2004","Main body","Basic mobile phone","PCB",17.6
"22","LG VX 3200 ","2004","Main body","Basic mobile phone","Others",5.8
"23","Mototrola V276 ","2004","Display","Basic mobile phone","Aluminum",0.2
"24","Mototrola V276 ","2004","Display","Basic mobile phone","Plastic",3.5
"25","Mototrola V276 ","2004","Display","Basic mobile phone","PCB",2.7
"26","Mototrola V276 ","2004","Display","Basic mobile phone","Flat panel glass",5
"27","Mototrola V276 ","2004","Main body","Basic mobile phone","Aluminum",7
"28","Mototrola V276 ","2004","Main body","Basic mobile phone","Copper",5.4
"29","Mototrola V276 ","2004","Main body","Basic mobile phone","Steel",0.6
"30","Mototrola V276 ","2004","Main body","Basic mobile phone","Plastic",37.7
"31","Mototrola V276 ","2004","Main body","Basic mobile phone","Li-ion battery",23.1
"32","Mototrola V276 ","2004","Main body","Basic mobile phone","PCB",16.7
"33","Mototrola V276 ","2004","Main body","Basic mobile phone","Others",8.1
"34","LG VX5200 ","2005","Display","Basic mobile phone","Aluminum",1.5
"35","LG VX5200 ","2005","Display","Basic mobile phone","Plastic",2.6
"36","LG VX5200 ","2005","Display","Basic mobile phone","PCB",1.8
"37","LG VX5200 ","2005","Display","Basic mobile phone","Flat panel glass",5.4
"38","LG VX5200 ","2005","Main body","Basic mobile phone","Aluminum",0.5
"39","LG VX5200 ","2005","Main body","Basic mobile phone","Copper",5
"40","LG VX5200 ","2005","Main body","Basic mobile phone","Steel",0.3
"41","LG VX5200 ","2005","Main body","Basic mobile phone","Plastic",37.3
"42","LG VX5200 ","2005","Main body","Basic mobile phone","Li-ion battery",21.6
"43","LG VX5200 ","2005","Main body","Basic mobile phone","PCB",13.4
"44","LG VX5200 ","2005","Main body","Basic mobile phone","Others",8.9
"45","Motorola RAZR V3c ","2005","Display","Basic mobile phone","Flat panel glass",15.2
"46","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Aluminum",27.6
"47","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Steel",0.6
"48","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Plastic",16.7
"49","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Li-ion battery",19.6
"50","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","PCB",11.6
"51","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Others",8.9
"52","LG enV VX9100 ","2008","Display","Basic mobile phone","Flat panel glass",13.7
"53","LG enV VX9100 ","2008","Main body","Basic mobile phone","Aluminum",13.1
"54","LG enV VX9100 ","2008","Main body","Basic mobile phone","Steel",0.7
"55","LG enV VX9100 ","2008","Main body","Basic mobile phone","Plastic",41.7
"56","LG enV VX9100 ","2008","Main body","Basic mobile phone","Li-ion battery",23.7
"57","LG enV VX9100 ","2008","Main body","Basic mobile phone","PCB",24.2
"58","LG enV VX9100 ","2008","Main body","Basic mobile phone","Others",7.6
"59","LG VX 8360 ","2009","Display","Basic mobile phone","Flat panel glass",10.4
"60","LG VX 8360 ","2009","Main body","Basic mobile phone","Aluminum",3
"61","LG VX 8360 ","2009","Main body","Basic mobile phone","Copper",1.7
"62","LG VX 8360 ","2009","Main body","Basic mobile phone","Steel",0.3
"63","LG VX 8360 ","2009","Main body","Basic mobile phone","Plastic",39.9
"64","LG VX 8360 ","2009","Main body","Basic mobile phone","Li-ion battery",20.5
"65","LG VX 8360 ","2009","Main body","Basic mobile phone","PCB",14.4
"66","LG VX 8360 ","2009","Main body","Basic mobile phone","Others",5.2
"67","LG VN 530 Octane ","2010","Display","Basic mobile phone","Flat panel glass",19
"68","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Steel",3
"69","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Plastic",55.6
"70","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Li-ion battery",21
"71","LG VN 530 Octane ","2010","Main body","Basic mobile phone","PCB",22.1
"72","LG VN 530 Octane ","2010","Main body","Basic mobile phone","Others",6.1
"73","Samsung BD P1000 ","2006","Case","Blu-ray player ","Aluminum",26.5
"74","Samsung BD P1000 ","2006","Case","Blu-ray player ","Steel",1976.5
"75","Samsung BD P1000 ","2006","Case","Blu-ray player ","Plastic",315.4
"76","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Copper",133
"77","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Steel",625.5
"78","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Plastic",178.7
"79","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","PCB",84.8
"80","Samsung BD P1000 ","2006","Disk drive","Blu-ray player ","Others",55.2
"81","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Copper",28.6
"82","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Steel",4.9
"83","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Plastic",55.6
"84","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","PCB",952.6
"85","Samsung BD P1000 ","2006","Interior modules","Blu-ray player ","Other glass",22.2
"86","Samsung BD P1400 ","2007","Case","Blu-ray player ","Steel",1890
"87","Samsung BD P1400 ","2007","Case","Blu-ray player ","Plastic",276.4
"88","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Copper",18.3
"89","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Steel",654.3
"90","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Plastic",178.4
"91","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","PCB",78.2
"92","Samsung BD P1400 ","2007","Disk drive","Blu-ray player ","Others",58.5
"93","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Copper",101.7
"94","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Steel",148.1
"95","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Plastic",46.8
"96","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","PCB",532
"97","Samsung BD P1400 ","2007","Interior modules","Blu-ray player ","Other glass",25
"98","Toshiba BDK33KU ","approx. 2012","Case","Blu-ray player ","Steel",455
"99","Toshiba BDK33KU ","approx. 2012","Case","Blu-ray player ","Plastic",80
"100","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Copper",4.8
"101","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Steel",67.19
"102","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Plastic",137.6
"103","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","PCB",0.8
"104","Toshiba BDK33KU ","approx. 2012","Disk drive","Blu-ray player ","Others",2.9
"105","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","Copper",33.2
"106","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","Steel",6.1
"107","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","Plastic",55.5
"108","Toshiba BDK33KU ","approx. 2012","Interior modules","Blu-ray player ","PCB",140
"109","Toshiba BDK33KU ","approx. 2012","Cabinet","CRT monitor","Plastic",2480
"110","Toshiba BDK33KU ","approx. 2012","Display","CRT monitor","CRT glass",7749
"111","Toshiba BDK33KU ","approx. 2012","Electrolytic capacitors","CRT monitor","Aluminum",61.13
"112","Toshiba BDK33KU ","approx. 2012","Electrolytic capacitors","CRT monitor","Copper",61.13
"113","Toshiba BDK33KU ","approx. 2012","Electrolytic capacitors","CRT monitor","Others",30.56
"114","Toshiba BDK33KU ","approx. 2012","Frame","CRT monitor","Steel",439
"115","Toshiba BDK33KU ","approx. 2012","Heat sink","CRT monitor","Aluminum",280.96
"116","Toshiba BDK33KU ","approx. 2012","ICs","CRT monitor","PCB",13.86
"117","Toshiba BDK33KU ","approx. 2012","Inductor coils","CRT monitor","Copper",37.52
"118","Toshiba BDK33KU ","approx. 2012","Inductor coils","CRT monitor","Steel",37.52
"119","Toshiba BDK33KU ","approx. 2012","Inductor coils","CRT monitor","Plastic",18.76
"120","Toshiba BDK33KU ","approx. 2012","monitor cable","CRT monitor","Copper",217.8
"121","Toshiba BDK33KU ","approx. 2012","monitor cable","CRT monitor","Plastic",72.6
"122","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT monitor","Steel",105.21
"123","Toshiba BDK33KU ","approx. 2012","Motherboard","CRT monitor","PCB",645.47
"124","Toshiba BDK33KU ","approx. 2012","Socket","CRT monitor","Plastic",338.37
"125","Toshiba BDK33KU ","approx. 2012","Transformers","CRT monitor","Copper",254.7
"126","Toshiba BDK33KU ","approx. 2012","Transformers","CRT monitor","Steel",254.7
"127","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Copper",7
"128","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Steel",60
"129","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Plastic",4600
"130","Toshiba BDK33KU ","approx. 2012","Chasis","CRT TV","Other metals",673
"131","Toshiba BDK33KU ","approx. 2012","Display","CRT TV","Copper",1745
