"","model","year","component","product","material","value"
"1","Nokia 5165 ","1998","Display","Basic mobile phone","Aluminum",1.7
"2","Nokia 5165 ","1998","Display","Basic mobile phone","Plastic",1.7
"3","Nokia 5165 ","1998","Display","Basic mobile phone","Flat panel glass",4.8
"4","Nokia 5165 ","1998","Display","Basic mobile phone","Total mass (g)",8.2
"5","Nokia 5165 ","1998","Main body","Basic mobile phone","Steel",2.2
"6","Nokia 5165 ","1998","Main body","Basic mobile phone","Plastic",45.7
"7","Nokia 5165 ","1998","Main body","Basic mobile phone","Li-ion battery",73.3
"8","Nokia 5165 ","1998","Main body","Basic mobile phone","PCB",42.6
"9","Nokia 5165 ","1998","Main body","Basic mobile phone","Others",1.1
"10","Nokia 5165 ","1998","Main body","Basic mobile phone","Total mass (g)",164.9
"11","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Aluminum",1.7
"12","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Steel",2.2
"13","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Plastic",47.4
"14","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Li-ion battery",73.3
"15","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","PCB",42.6
"16","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Flat panel glass",4.8
"17","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Others",1.1
"18","Nokia 5165 ","1998","Total mass (g)","Basic mobile phone","Total mass (g)",173.1
"19","Sanyo SCP 4000 ","1999","Display","Basic mobile phone","Flat panel glass",5.7
"20","Sanyo SCP 4000 ","1999","Display","Basic mobile phone","Total mass (g)",5.7
"21","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Steel",2.9
"22","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Plastic",30.3
"23","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Li-ion battery",47.6
"24","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","PCB",30.6
"25","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Others",7.5
"26","Sanyo SCP 4000 ","1999","Main body","Basic mobile phone","Total mass (g)",118.9
"27","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Steel",2.9
"28","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Plastic",30.3
"29","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Li-ion battery",47.6
"30","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","PCB",30.6
"31","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Flat panel glass",5.7
"32","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Others",7.5
"33","Sanyo SCP 4000 ","1999","Total mass (g)","Basic mobile phone","Total mass (g)",124.6
"34","LG VX 3200 ","2004","Display","Basic mobile phone","Plastic",2.2
"35","LG VX 3200 ","2004","Display","Basic mobile phone","Flat panel glass",3.7
"36","LG VX 3200 ","2004","Display","Basic mobile phone","Total mass (g)",5.9
"37","LG VX 3200 ","2004","Main body","Basic mobile phone","Copper",6.5
"38","LG VX 3200 ","2004","Main body","Basic mobile phone","Steel",0.4
"39","LG VX 3200 ","2004","Main body","Basic mobile phone","Plastic",36.7
"40","LG VX 3200 ","2004","Main body","Basic mobile phone","Li-ion battery",22.7
"41","LG VX 3200 ","2004","Main body","Basic mobile phone","PCB",17.6
"42","LG VX 3200 ","2004","Main body","Basic mobile phone","Others",5.8
"43","LG VX 3200 ","2004","Main body","Basic mobile phone","Total mass (g)",89.7
"44","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Copper",6.5
"45","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Steel",0.4
"46","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Plastic",38.9
"47","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Li-ion battery",22.7
"48","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","PCB",17.6
"49","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Flat panel glass",3.7
"50","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Others",5.8
"51","LG VX 3200 ","2004","Total mass (g)","Basic mobile phone","Total mass (g)",95.6
"52","Mototrola V276 ","2004","Display","Basic mobile phone","Aluminum",0.2
"53","Mototrola V276 ","2004","Display","Basic mobile phone","Plastic",3.5
"54","Mototrola V276 ","2004","Display","Basic mobile phone","PCB",2.7
"55","Mototrola V276 ","2004","Display","Basic mobile phone","Flat panel glass",5
"56","Mototrola V276 ","2004","Display","Basic mobile phone","Total mass (g)",11.4
"57","Mototrola V276 ","2004","Main body","Basic mobile phone","Aluminum",7
"58","Mototrola V276 ","2004","Main body","Basic mobile phone","Copper",5.4
"59","Mototrola V276 ","2004","Main body","Basic mobile phone","Steel",0.6
"60","Mototrola V276 ","2004","Main body","Basic mobile phone","Plastic",37.7
"61","Mototrola V276 ","2004","Main body","Basic mobile phone","Li-ion battery",23.1
"62","Mototrola V276 ","2004","Main body","Basic mobile phone","PCB",16.7
"63","Mototrola V276 ","2004","Main body","Basic mobile phone","Others",8.1
"64","Mototrola V276 ","2004","Main body","Basic mobile phone","Total mass (g)",98.6
"65","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Aluminum",7.2
"66","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Copper",5.4
"67","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Steel",0.6
"68","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Plastic",41.2
"69","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Li-ion battery",23.1
"70","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","PCB",19.4
"71","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Flat panel glass",5
"72","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Others",8.1
"73","Mototrola V276 ","2004","Total mass (g)","Basic mobile phone","Total mass (g)",110
"74","LG VX5200 ","2005","Display","Basic mobile phone","Aluminum",1.5
"75","LG VX5200 ","2005","Display","Basic mobile phone","Plastic",2.6
"76","LG VX5200 ","2005","Display","Basic mobile phone","PCB",1.8
"77","LG VX5200 ","2005","Display","Basic mobile phone","Flat panel glass",5.4
"78","LG VX5200 ","2005","Display","Basic mobile phone","Total mass (g)",11.3
"79","LG VX5200 ","2005","Main body","Basic mobile phone","Aluminum",0.5
"80","LG VX5200 ","2005","Main body","Basic mobile phone","Copper",5
"81","LG VX5200 ","2005","Main body","Basic mobile phone","Steel",0.3
"82","LG VX5200 ","2005","Main body","Basic mobile phone","Plastic",37.3
"83","LG VX5200 ","2005","Main body","Basic mobile phone","Li-ion battery",21.6
"84","LG VX5200 ","2005","Main body","Basic mobile phone","PCB",13.4
"85","LG VX5200 ","2005","Main body","Basic mobile phone","Others",8.9
"86","LG VX5200 ","2005","Main body","Basic mobile phone","Total mass (g)",87
"87","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Aluminum",2
"88","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Copper",5
"89","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Steel",0.3
"90","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Plastic",39.9
"91","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Li-ion battery",21.6
"92","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","PCB",15.2
"93","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Flat panel glass",5.4
"94","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Others",8.9
"95","LG VX5200 ","2005","Total mass (g)","Basic mobile phone","Total mass (g)",98.3
"96","Motorola RAZR V3c ","2005","Display","Basic mobile phone","Flat panel glass",15.2
"97","Motorola RAZR V3c ","2005","Display","Basic mobile phone","Total mass (g)",15.2
"98","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Aluminum",27.6
"99","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Steel",0.6
"100","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Plastic",16.7
"101","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Li-ion battery",19.6
"102","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","PCB",11.6
"103","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Others",8.9
"104","Motorola RAZR V3c ","2005","Main body","Basic mobile phone","Total mass (g)",85
"105","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Aluminum",27.6
"106","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Steel",0.6
"107","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Plastic",16.7
"108","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Li-ion battery",19.6
"109","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","PCB",11.6
"110","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Flat panel glass",15.2
"111","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Others",8.9
"112","Motorola RAZR V3c ","2005","Total mass (g)","Basic mobile phone","Total mass (g)",100.2
"113","LG enV VX9100 ","2008","Display","Basic mobile phone","Flat panel glass",13.7
"114","LG enV VX9100 ","2008","Display","Basic mobile phone","Total mass (g)",13.7
"115","LG enV VX9100 ","2008","Main body","Basic mobile phone","Aluminum",13.1
"116","LG enV VX9100 ","2008","Main body","Basic mobile phone","Steel",0.7
"117","LG enV VX9100 ","2008","Main body","Basic mobile phone","Plastic",41.7
"118","LG enV VX9100 ","2008","Main body","Basic mobile phone","Li-ion battery",23.7
"119","LG enV VX9100 ","2008","Main body","Basic mobile phone","PCB",24.2
"120","LG enV VX9100 ","2008","Main body","Basic mobile phone","Others",7.6
"121","LG enV VX9100 ","2008","Main body","Basic mobile phone","Total mass (g)",111
"122","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Aluminum",13.1
"123","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Steel",0.7
"124","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Plastic",41.7
"125","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Li-ion battery",23.7
"126","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","PCB",24.2
"127","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Flat panel glass",13.7
"128","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Others",7.6
"129","LG enV VX9100 ","2008","Total mass (g)","Basic mobile phone","Total mass (g)",124.7
