"","unu_key","year","variable","indicator","value"
"1","0101","2000","Mass","eu_exports",7094
"2","0101","2000","Mass","eu_imports",194777
"3","0101","2000","Mass","non_eu_exports",227133
"4","0101","2000","Mass","non_eu_imports",626
"5","0101","2000","Mass","domestic_production",0
"6","0101","2000","Mass","total_imports",195403
"7","0101","2000","Mass","total_exports",234227
"8","0101","2000","Mass","apparent_consumption",-38824
"9","0101","2000","Units","eu_exports",0
"10","0101","2000","Units","eu_imports",0
"11","0101","2000","Units","non_eu_exports",0
"12","0101","2000","Units","non_eu_imports",0
"13","0101","2000","Units","domestic_production",0
"14","0101","2000","Units","total_imports",0
"15","0101","2000","Units","total_exports",0
"16","0101","2000","Units","apparent_consumption",0
"17","0101","2000","Value","eu_exports",59731
"18","0101","2000","Value","eu_imports",1491141
"19","0101","2000","Value","non_eu_exports",1387588
"20","0101","2000","Value","non_eu_imports",11937
"21","0101","2000","Value","domestic_production",0
"22","0101","2000","Value","total_imports",1503078
"23","0101","2000","Value","total_exports",1447319
"24","0101","2000","Value","apparent_consumption",55759
"25","0101","2001","Mass","eu_exports",4
"26","0101","2001","Mass","eu_imports",140504
"27","0101","2001","Mass","non_eu_exports",311287
"28","0101","2001","Mass","non_eu_imports",42543
"29","0101","2001","Mass","domestic_production",0
"30","0101","2001","Mass","total_imports",183047
"31","0101","2001","Mass","total_exports",311291
"32","0101","2001","Mass","apparent_consumption",-128244
"33","0101","2001","Units","eu_exports",0
"34","0101","2001","Units","eu_imports",0
"35","0101","2001","Units","non_eu_exports",0
"36","0101","2001","Units","non_eu_imports",0
"37","0101","2001","Units","domestic_production",0
"38","0101","2001","Units","total_imports",0
"39","0101","2001","Units","total_exports",0
"40","0101","2001","Units","apparent_consumption",0
"41","0101","2001","Value","eu_exports",8240
"42","0101","2001","Value","eu_imports",1237211
"43","0101","2001","Value","non_eu_exports",1956975
"44","0101","2001","Value","non_eu_imports",780361
"45","0101","2001","Value","domestic_production",0
"46","0101","2001","Value","total_imports",2017572
"47","0101","2001","Value","total_exports",1965215
"48","0101","2001","Value","apparent_consumption",52357
"49","0101","2002","Mass","eu_exports",6947
"50","0101","2002","Mass","eu_imports",160963
"51","0101","2002","Mass","non_eu_exports",238693
"52","0101","2002","Mass","non_eu_imports",26739
"53","0101","2002","Mass","domestic_production",0
"54","0101","2002","Mass","total_imports",187702
"55","0101","2002","Mass","total_exports",245640
"56","0101","2002","Mass","apparent_consumption",-57938
"57","0101","2002","Units","eu_exports",0
"58","0101","2002","Units","eu_imports",0
"59","0101","2002","Units","non_eu_exports",0
"60","0101","2002","Units","non_eu_imports",0
"61","0101","2002","Units","domestic_production",0
"62","0101","2002","Units","total_imports",0
"63","0101","2002","Units","total_exports",0
"64","0101","2002","Units","apparent_consumption",0
"65","0101","2002","Value","eu_exports",20256
"66","0101","2002","Value","eu_imports",1285524
"67","0101","2002","Value","non_eu_exports",634878
"68","0101","2002","Value","non_eu_imports",508767
"69","0101","2002","Value","domestic_production",0
"70","0101","2002","Value","total_imports",1794291
"71","0101","2002","Value","total_exports",655134
"72","0101","2002","Value","apparent_consumption",1139157
"73","0101","2003","Mass","eu_exports",1594
"74","0101","2003","Mass","eu_imports",205211
"75","0101","2003","Mass","non_eu_exports",247596
"76","0101","2003","Mass","non_eu_imports",12291
"77","0101","2003","Mass","domestic_production",0
"78","0101","2003","Mass","total_imports",217502
"79","0101","2003","Mass","total_exports",249190
"80","0101","2003","Mass","apparent_consumption",-31688
"81","0101","2003","Units","eu_exports",0
"82","0101","2003","Units","eu_imports",0
"83","0101","2003","Units","non_eu_exports",0
"84","0101","2003","Units","non_eu_imports",0
"85","0101","2003","Units","domestic_production",0
"86","0101","2003","Units","total_imports",0
"87","0101","2003","Units","total_exports",0
"88","0101","2003","Units","apparent_consumption",0
"89","0101","2003","Value","eu_exports",9156
"90","0101","2003","Value","eu_imports",2001593
