Name,Model,Buildcost,Owner,Location,wiki_coords
Hornsea One,Siemens SWT-7.0-154,£,Ørsted and Global Infrastructure Partners,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}53°53′06″N 01°47′28″E﻿ / ﻿53.88500°N 1.79111°E","(53.885, 1.79111)"
East Anglia One,Siemens SWT-7.0-154,,,52°14′04″N 02°29′18″E﻿ / ﻿52.23444°N 2.48833°E,"(52.23444, 2.48833)"
Barrow,Vestas V90-3.0MW,£123m,Ørsted,53°59′00″N 3°17′00″W﻿ / ﻿53.98333°N 3.28333°W,"(53.98333, -3.28333)"
Beatrice,REpower 5M,£35m,SSE and Talisman Energy,58°06′20″N 03°05′35″W﻿ / ﻿58.10556°N 3.09306°W,"(58.10556, -3.09306)"
Beatrice extension,Siemens Gamesa 7MW,"£2,600m",SSE and Talisman Energy,58°06′20″N 03°05′35″W﻿ / ﻿58.10556°N 3.09306°W,"(58.10556, -3.09306)"
Blyth Offshore,Vestas V66-2MW,£4m,E.ON,55°08′09″N 01°29′25″W﻿ / ﻿55.13583°N 1.49028°W,"(55.13583, -1.49028)"
Blyth Offshore Demonstrator,Vestas V164-8MW,,EDF Renewables,,"(0, 0)"
Burbo Bank,Siemens SWP 3.6–107,£90m,Ørsted,53°29′00″N 3°11′00″W﻿ / ﻿53.48333°N 3.18333°W,"(53.48333, -3.18333)"
Burbo Bank Extension,Vestas V164 8.0 MW,,Ørsted,53°29′00″N 3°11′00″W﻿ / ﻿53.48333°N 3.18333°W,"(53.48333, -3.18333)"
Dudgeon,Siemens SWT-6.0–154,"£1,500m","Equinor, Statkraft",53°15′00″N 1°23′00″E﻿ / ﻿53.25000°N 1.38333°E,"(53.25, 1.38333)"
European Offshore Wind Deployment Centre,Vestas V164-8MW,,European Offshore Wind Deployment Centre,57°13′0″N 1°59′0″W﻿ / ﻿57.21667°N 1.98333°W,"(57.21667, -1.98333)"
Greater Gabbard,Siemens SWT-3.6–107,"£1,500m",SSE Renewables,51°56′0″N 1°53′0″E﻿ / ﻿51.93333°N 1.88333°E,"(51.93333, 1.88333)"
Gunfleet Sands 1 & 2,Siemens SWP-3.6–107,£300m,Ørsted,51°43′0″N 01°12′50″E﻿ / ﻿51.71667°N 1.21389°E,"(51.71667, 1.21389)"
Gunfleet Sands 3 – Demonstration Project,Siemens SWT-6.0 120,£51m,Ørsted,51°43′0″N 01°12′50″E﻿ / ﻿51.71667°N 1.21389°E,"(51.71667, 1.21389)"
Gwynt y Môr,Siemens SWT-3.6 107,">£2,000m","RWE Npower, Stadtwerke München, GIB, Siemens",53°27′00″N 03°35′00″W﻿ / ﻿53.45000°N 3.58333°W,"(53.45, -3.58333)"
Humber Gateway,Vestas V112 3.0MW,£736m,E.ON,53°38′38″N 0°17′35″E﻿ / ﻿53.64389°N 0.29306°E,"(53.64389, 0.29306)"
Hywind Scotland,Siemens SWT-6.0-154 6MW,NOK2 billion (£152m),"Equinor, Masdar",57°29′0″N 1°21′0″W﻿ / ﻿57.48333°N 1.35000°W,"(57.48333, -1.35)"
Kentish Flats,30x Vestas V90-3.0MW15× Vestas V112-3.3MW,£121.5m,Vattenfall,51°27′36″N 01°05′24″E﻿ / ﻿51.46000°N 1.09000°E,"(51.46, 1.09)"
Lincs,Siemens SWT-3.6–120,"£1,000m","Centrica, Siemens, Ørsted",53°11′0″N 0°29′0″E﻿ / ﻿53.18333°N 0.48333°E,"(53.18333, 0.48333)"
London Array,Siemens SWT-3.6,"£1,800m","Ørsted, E.ON UK Renewables, Masdar",51°38′38″N 1°33′13″E﻿ / ﻿51.64389°N 1.55361°E,"(51.64389, 1.55361)"
Lynn and Inner Dowsing,Siemens SWP-3.6–107,£300m,Centrica 50% TCW 50%,53°07′39″N 0°26′10″E﻿ / ﻿53.12750°N 0.43611°E,"(53.1275, 0.43611)"
Methil,Samsung 7 MW,,"Samsung, 2-B Energy",56°09′46″N 03°00′32″W﻿ / ﻿56.16278°N 3.00889°W,"(56.16278, -3.00889)"
North Hoyle,Vestas V80-2MW,£80m,Greencoat UKW,53°26′00″N 3°24′00″W﻿ / ﻿53.43333°N 3.40000°W,"(53.43333, -3.4)"
Ormonde,REpower 5MW,£552m,Vattenfall,54°06′00″N 3°24′00″W﻿ / ﻿54.10000°N 3.40000°W,"(54.1, -3.4)"
Race Bank,Siemens SWT-6.0–154,,Ørsted,53°16′30″N 0°50′30″E﻿ / ﻿53.27500°N 0.84167°E,"(53.275, 0.84167)"
Rampion,Vestas V112-3.45MW,"£1,300m",E.ON,50°40′00″N 0°16′00″W﻿ / ﻿50.66667°N 0.26667°W,"(50.66667, -0.26667)"
Rhyl Flats,Siemens SWP 3.6–107,£198m,Npower (UK) (RWE),53°22′00″N 3°39′00″W﻿ / ﻿53.36667°N 3.65000°W,"(53.36667, -3.65)"
Robin Rigg,Vestas V90-3.0MW,£396m,E.ON,54°45′00″N 3°43′00″W﻿ / ﻿54.75000°N 3.71667°W,"(54.75, -3.71667)"
Scroby Sands,Vestas V80-2MW,£75.5m,E.ON,52°38′0″N 1°47′0″E﻿ / ﻿52.63333°N 1.78333°E,"(52.63333, 1.78333)"
Sheringham Shoal,Siemens SWT-3.6–107,"£1,100m",Equinor 50%Statkraft 50%,53°07′0″N 1°08′0″E﻿ / ﻿53.11667°N 1.13333°E,"(53.11667, 1.13333)"
Teesside,Siemens SWT-2.3,£200m,EDF-EN,54°38′50″N 1°05′40″W﻿ / ﻿54.64722°N 1.09444°W,"(54.64722, -1.09444)"
Thanet,Vestas V90-3.0MW,£900m,Vattenfall,51°26′0″N 1°38′0″E﻿ / ﻿51.43333°N 1.63333°E,"(51.43333, 1.63333)"
Walney,Siemens SWP 3.6–107,£630m,"Ørsted, SSE, OPW",54°03′00″N 3°31′00″W﻿ / ﻿54.05000°N 3.51667°W,"(54.05, -3.51667)"
Walney Extension,"47x Siemens SWT-7.0-154, 40× MHI Vestas V164-8.25 MW",,Ørsted,54°5′17″N 3°44′17″W﻿ / ﻿54.08806°N 3.73806°W,"(54.08806, -3.73806)"
Westermost Rough,Siemens SWT-6.0–154,£370m,"Ørsted, Marubeni, GIB",53°48′18″N 0°8′56″E﻿ / ﻿53.80500°N 0.14889°E,"(53.805, 0.14889)"
