Name,Country,Location,Cap. (MW),No.,Model,Projectcommissioning,Buildcost,Cap.fac.,Depthrange (m),km toshore,Owner,Refs.
Hornsea One,England,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}53°53′06″N 01°47′28″E﻿ / ﻿53.88500°N 1.79111°E",1218,174,Siemens SWT-7.0-154,2020,£,,25-30,120,Ørsted and Global Infrastructure Partners,[4]
East Anglia One,England,52°14′04″N 02°29′18″E﻿ / ﻿52.23444°N 2.48833°E,714,102,Siemens SWT-7.0-154,2020,,,,43,,[5]
Barrow,England,53°59′00″N 3°17′00″W﻿ / ﻿53.98333°N 3.28333°W,90,30,Vestas V90-3.0MW,July 2006,£123m,35.9%[6],15–20,7,Ørsted,[w 1][7]
Beatrice,Scotland,58°06′20″N 03°05′35″W﻿ / ﻿58.10556°N 3.09306°W,10,2,REpower 5M,July 2007,£35m,20%,45,23,SSE and Talisman Energy,[w 2][8]
Beatrice extension,Scotland,58°06′20″N 03°05′35″W﻿ / ﻿58.10556°N 3.09306°W,588,84,Siemens Gamesa 7MW,July 2019,"£2,600m",,45,23,SSE and Talisman Energy,[9][10]
Blyth Offshore,England,55°08′09″N 01°29′25″W﻿ / ﻿55.13583°N 1.49028°W,4,2,Vestas V66-2MW,December 2000(decommissioned2019 March),£4m,,6–11,1.6,E.ON,
Blyth Offshore Demonstrator,England,,41.5,5,Vestas V164-8MW,2017,,,50-60,6.5,EDF Renewables,[11][12]
Burbo Bank,England,53°29′00″N 3°11′00″W﻿ / ﻿53.48333°N 3.18333°W,90,25,Siemens SWP 3.6–107,September 2007,£90m,32–35%,0–6,7,Ørsted,[w 3][13]
Burbo Bank Extension,England,53°29′00″N 3°11′00″W﻿ / ﻿53.48333°N 3.18333°W,258,32,Vestas V164 8.0 MW,April 2017,,,6–13,,Ørsted,
Dudgeon,England,53°15′00″N 1°23′00″E﻿ / ﻿53.25000°N 1.38333°E,402,67,Siemens SWT-6.0–154,October 2017,"£1,500m",48%,,,"Equinor, Statkraft",[14][15]
