brand,price,title
Microsoft,189.99,Microsoft Surface Pro 5 Core i5 2.60GHz 8GB Ram 128GB SSD Windows 11 Tablet
Microsoft,189.99,Microsoft Surface Pro 5 Core i5 2.60GHz 8GB Ram 256GB SSD Windows 11 Tablet
Microsoft,203.97,Microsoft Surface Pro 4 Tablet Core i5 2.4GHz 8GB RAM 256GB SSD UK Keyb - NO PEN
Microsoft,139.99,Microsoft Surface Pro 4 Core i5 2.40GHz 4GB Ram 128GB SSD Windows 11 Tablet
Venturer,54.99,"Venturer RCA Challenger Tablet Pro 10.1"" IPS HD 16Gb Android 10 WiFi BT Black"
Apple,29.99,"Apple iPad Mini 1 and 2, iPad 2nd 3rd 4th Gen 16GB ,Wi-Fi, 4G COLOURS Very Good"
Huawei,79.99,"Huawei MediaPad M5 lite 8"" Google Android 9.0 Tablet 4G LTE (Sim Free Unlocked)"
Microsoft,124.99,Microsoft Surface Pro 3 Core i5 1.90GHz 8GB Ram 256GB SSD Windows 11 Tablet
Apple,119.99,"Apple iPad Air 2 16/32/64/128GB WiFi/4G 9.7"" All Colours - GOOD CONDITION"
Apple,164.99,"Apple iPad 6th gen 2018/2019 9.7"" 32GB 128GB Wi-Fi or Wi-Fi + 4G GOOD USED"
Apple,179.99,Apple iPad 6th Generation (2018) 32GB 128GB WiFi / 4G EXCELLENT CONDITION A++
Apple,119.99,"Apple iPad Air 2 16/32/64/128GB<wbr/>, Wi-Fi or 4G, 9.7in, All Colours, GOOD USED"
Samsung,64.99,"Samsung Galaxy Tab S Tablet 16GB 10.5"" Wi-Fi Dazzling White Grade A"
Apple,169.99,"Apple iPad 6 Space Grey 32GB WiFi 9.7"" 6th Generation 2018 Retina Warranty"
Apple,139.99,"Apple iPad Air 2 16/32/64/128GB WiFi/4G 9.7"" All Colours - EXCELLENT CONDITION"
Samsung,139.96,"SAMSUNG GALAXY TAB A8 10.5"" TABLET 32GB UFS 3GB ANDROID GRAPHITE SM-X200NZAAEUA"
Apple,109,"iPad Air 2nd Generation – Apple – 9.7"" Display – Wifi – 2014 – 64GB - Space Grey"
Apple,149.99,Apple iPad Pro 9.7in (2016) 32/128/256GB WiFi/4G All Colours GOOD CONDITION
Samsung,79.99,Samsung Galaxy Tab S SM-T800 10.5 In Tablet WI-FI 16GB 3GB Ram Android - White
Apple,69.99,"Apple iPad Air 16/32/64/128GB WiFi/4G 9.7"" Black/White - GOOD CONDITION"
Apple,219.99,Apple iPad mini 5 (2019) 7.9 Inch Wi-Fi 64GB IOS - Grey
Apple,159.99,Apple iPad 6th Gen 32/128GB Wi-Fi/4G Unlocked All Colours Very Good Condition
Apple,39.99,"Apple iPad 4th Gen. 32GB, Wi-Fi (Unlocked), 9.7in - Black Excellent"
HUAWEI,99.99,"HUAWEI MatePad 10.4"" Tablet, 64GB. WiFi, Midnight Grey, BAH3-W09"
Apple,239.99,Apple iPad 7th Gen (2019) 32GB 128GB WiFi/4G All Colours EXCELLENT CONDITION A++
Samsung,69.99,"Samsung Galaxy Tab A Tablet, 9.7"" 16GB, WiFi+Cellular, Vodafone, Black, SM-T555"
Apple,139.99,Apple iPad mini 4 Wi-Fi 7.9in 16GB/32GB/64GB<wbr/>/128GB IOS 15 (Latest) Fast Dispatch
Acer,59,Acer Aspire Switch 10V SW5-014P 64GB 1.44GHz Quad-core WIN 10 Pro TABLET ONLY(B)
Huawei,55,HUAWEI JDNL01 MEDIA PAD T2 8in PRO 16GB WiFi + 4G TABLET (2017) WHITE🔥
Apple,329.97,"Apple iPad (9th Gen, 2021) 10.2"" Tablet - 64GB, Wi-Fi - Silver - EXCELLENT"
Samsung,69.99,Samsung Galaxy Tab 4 SM-T530 Tablet 10.1-Inch WIFI 16GB Android - Black
Apple,225,"Tablet Apple iPad 6th Gen 128GB Space Grey WiFi +4G Touch ID iPadOS Warranty, VG"
Apple,169.99,"Apple iPad 5 2017 5th Gen 32/128GB WiFi/4G 9.7"" All Colours EXCELLENT CONDITION"
Apple,38.39,Apple iPad 1st Gen 32GB Cellular Version Model A1219 Black MD293B Rare Very Good
Apple,74.99,Apple iPad 4th Generation Black 16GB Wi-Fi Excellent Device Very Good Condition
Samsung,79.99,Samsung Galaxy Tab A (2016) SM-T580 10.1 Inch Wi-Fi 16GB Android Tablet - Grey
Huawei,59.99,"Huawei MatePad T10 9.7"" IPS LCD 2GB / 32GB Android WiFi Tablet Blue"
Samsung,92.94,"Samsung Galaxy Tab A (2019) SM-T290 32GB, Wi-Fi, 8in - Black VERY GOOD CONDITION"
Samsung,59.99,"Samsung Galaxy Tab Active SM-T365 Tablet 16GB WiFi+4G 8"" Unlock Android  - Black"
Apple,225,"Apple iPad Pro 10.5 (2017) Space Grey 64GB Space Grey WiFi Tablet iPadOS, G"
Samsung,79.99,"Samsung Galaxy Tab A 2016 Tablet, 10.1"", 32GB, WiFi, Black, SM-T580"
Apple,129.99,Apple iPad Air 2nd Generation 16GB Wi-Fi  Various Colours Very Good Condition 
Apple,54.79,Apple iPad Mini 1st Gen 16GB / 32GB / 64GB Wi-Fi Black & Silver PRISTINE
HP,89.99,HP ElitePad 1000 G2 Tablet Atom Z3795 4GB 64GB SSD Windows 10 Pro Grade B
Samsung,89.99,"Samsung Galaxy Tab A SM-T295 (2019) Tablet 8"" 2GB Ram 32GB Android - Black"
Apple,90,Apple iPad Air 1st Generation  32GB Wi-Fi Silver Grey - Excellent Condition
Huawei,59.99,"Huawei MediaPad T3 8"" HD Google Android 7.0 Tablet 4G LTE (Sim Free Unlocked)"
Microsoft,369.99,Microsoft Surface Pro 6 Core i7-8650U 8GB Ram 256GB SSD Windows 11 Pro Tablet
Samsung,65.99,"Samsung Galaxy Tab S 10.5"" inch Tablet Octa-Core 1.9GHz 3GB RAM 16GB Grade A"
Samsung,79.99,"Samsung Galaxy Tab A SM-T555 9.7"" Wi-Fi+LTE 16GB 2GB Android Tablet- Black/White"
Apple,249.99,"Apple iPad Pro 10.5"" Space Grey 2nd Gen 256GB WiFi Cellular 4G Unlocked iPadOS"
Apple,89.99,"Apple iPad Air 16/32/64/128GB WiFi/4G 9.7"" Black/White - EXCELLENT CONDITION"
Apple,134.99,"Apple iPad 5th Gen 32/128GB WiFi + 4G Unlocked 9.7"" Very Good Condition"
Apple,139.99,"Apple iPad Air 2 16/32/64/128GB<wbr/>, Wi-Fi or 4G, 9.7in, All Colours, Excellent"
Apple,250,"Apple iPad mini 5th Gen Retina 64GB Wi-Fi+4G 7.9"" S.Grey A Grade Latest iOS 16"
Apple,129.99,Apple iPad Mini 4 16GB 32GB 64GB 128GB Space Grey Gold Silver WiFi Very Good
Apple,179.99,"Apple iPad 6th Gen (2018) - 32GB/128GB, Wi-Fi, 9.7in - Silver/Grey/Go<wbr/>ld"
Apple,139.99,"Apple iPad 5th Generation 32/128GB, Wi-Fi, 9.7in, ALL COLOURS GOOD USED"
Lenovo,79.99,"Lenovo Tab P10 Tablet, 10.1"" 32GB, WiFi, Black, TB-X705F"
Samsung,64.99,"Samsung Galaxy Tab S 10.5"" inch Tablet Octa-Core 3GB RAM 16GB Grey Grade A"
HP,34.99,HP Steam 7 32GB 7.0 Black Tablet - Good Used 
Apple,69.95,"Apple iPad Air 1st Gen. 16GB, Wi-Fi + 4G - Space Grey (Very Good Condition)"
Apple,220,"iPad 7th Generation – Apple – 10.2"" Display – Wifi – 2019 - 32GB - Space Grey"
Apple,59.99,Apple iPad Mini 2 16/32/64/128GB WiFi/4G 7.9in Black/White - GOOD CONDITION
Apple,89.99,Apple iPad Air 1st Generation 16GB 32GB Wi-Fi Silver Grey Excellent Condition 
Apple,309.99,Apple iPad Pro 10.5 (2017) Space Grey 64GB Space Grey WiFi/4G iPadOS Excellent
Microsoft,154.99,"Microsoft Surface Pro 3 - Core i5 128GB SSD 4GB RAM Wi-Fi 12"" - Silver - Good"
Apple,69.99,"Apple iPad 4th Gen – Apple – 9.7"" Display – WIFI – 2012– 64GB - Space Grey"
Apple,124.99,"Apple iPad Pro 32/128/256GB, Wi-Fi or 4G - 9.7in-VARIOUS COLOURS, "
Apple,209.99,"SEALED Apple iPad 5th Gen. 32GB, 128GB WiFi or Cellular 2017"
Apple,139.99,Apple iPad Mini 4 16GB 32GB 64GB 128GB Space Grey Gold Silver WiFi Excellent
Microsoft,134.99,Microsoft Surface Pro 4 Intel Core M3-6Y30 4GB RAM 128GB SSD
